Product,Rating,Title,Review,Brand,Line,RatingNumeric,HairPattern,HairDensity,ScalpCondition,HairConcerns
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,love,this hair mask is fantastic. it leaves my hair smelling great and moisturized.,Curls,Blueberry Bliss,5,4a,thick,dry scalp,
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",4.0 out of 5 stars,smells great,its for my daughter who's almost 2. she has such kinky soft hair. but some areas its frizzy due to this florida weather. will update after 1 week of using.,Curls,Blueberry Bliss,4,coily,thick,flaky scalp,frizz
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,very moisturizing.,loved how it left my curls.,Curls,Blueberry Bliss,5,curly,fine,,shine
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,recommend,good product.  works well,Curls,Blueberry Bliss,5,coily,fine,sensitive scalp,shine
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,five stars,my hair felt amazing,Curls,Blueberry Bliss,5,curly,thick,,"shine, volume"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,great item!,love this for my daughters hair. perfect for her curls.,Curls,Blueberry Bliss,5,curly,fine,,"volume, shine"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,buy 2,love the way this smell but most of all it works well on my natural hair i will be buying more from this company,Curls,Blueberry Bliss,5,4a,medium,,
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,soft curls,"my hair was so soft after deep conditioning for about 15-20 minutes. no heat, just a cap. amazing smell and feel",Curls,Blueberry Bliss,5,coily,medium,,volume
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,smells great,"love love love this product. smells amazing. if you have to sit with something on your head for a long time, it might as well smell good.",Curls,Blueberry Bliss,5,coily,fine,dry scalp,"shine, split ends"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",1.0 out of 5 stars,not good for low porosity hair,it made my hair extremely stiff and crunchy. the curls didn't last a day let alone look as nice as it would with other products. waste of money of you have thin type hair.,Curls,Blueberry Bliss,1,curly,fine,,"breakage, frizz, dryness, heat damage"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,great buy,"scent is great, moisturizing is wonderful and sheerness is smooth",Curls,Blueberry Bliss,5,straight,fine,dry scalp,
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",1.0 out of 5 stars,no safety seal/ arrived leaking,"the container's top was cracked and the product was leaking all over when it arrived. additionally, there appeared to be no safety seal on the product.",Curls,Blueberry Bliss,1,3b,medium,,breakage
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,luxurious and smells good,"smells delicious, really creamy and luxurious feel. left my curls defined and soft.",Curls,Blueberry Bliss,5,curly,fine,,shine
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",4.0 out of 5 stars,just ok,used only a few times. didn’t notice any real difference. felt like a normal conditioner.,Curls,Blueberry Bliss,4,4c,medium,normal scalp,"shine, volume"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,smells amazing and leaves my hair so soft!,great for curly hair! i use with my heat cap with it to help it penetrate more. love!,Curls,Blueberry Bliss,5,curly,fine,,"volume, shine"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",3.0 out of 5 stars,to heavy for fine hair/medium density,to heavy for my fine/medium density hair. smells great is very moisturizing; if that’s what you’re looking for.,Curls,Blueberry Bliss,3,4a,fine,,
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",3.0 out of 5 stars,container broke,love the product but half was gone by the time i recieved it because the screw top was busted and cracked.  product was all inside my package from it leaking out. very disappointed.  product arrived in soft packaging vs harder box.,Curls,Blueberry Bliss,3,wavy,medium,sensitive scalp,"breakage, volume"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",4.0 out of 5 stars,four stars,"smells wonderful, very refreshing and a great conditioner.",Curls,Blueberry Bliss,4,coily,fine,dry scalp,"shine, volume"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,good smell and really does moisturize,i just used this product yesterday. it left my hair so moisturized! my curls were popping!!! i'm high porosity . i can still smell the sent and i love that.,Curls,Blueberry Bliss,5,curly,medium,,"volume, shine"
"Curls Blueberry Bliss Reparative Hair Mask, 8 Ounces",5.0 out of 5 stars,curls,absolutely great product!,Curls,Blueberry Bliss,5,coily,thick,sensitive scalp,shine
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,this is not giovanni direct leave in conditioner!!! this is a complete fraud!!,"this is not giovanni direct leave in conditioner!!! this is a complete fraud!! i use this product all the time and what i received from you is too thick, has a nasty scent, and the color is different!!! i would like my money back!!! there could be anything in these bottles, this is not what i paid for!!!!!!",Giovanni,Curly Girl Products,1,wavy,fine,sensitive scalp,"dryness, frizz, color-treated, volume"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,**fake**,"bought my first big bottle of this stuff at walmart. loved it so much i bought this 3-pk because i knew i would continue to use it. too bad i just ran out of my big bottle yesterday only to find out these bottles are filled with lotion!! not even a good lotion at that! should have know since the price was good, but since it was amazon just assumed it would be legit. can’t get a refund because my authentic bottle lasted longer than i thought it would so guess i’m just taking a lesson away from this order...*eye roll*",Giovanni,Curly Girl Products,1,wavy,thick,sensitive scalp,"breakage, volume, dryness, shine, color-treated"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,didn’t work at all!😒,i’ve read so many good reviews on this product. not sure if what i received is a different formula from everyone raves about but this didn’t do anything for my hair!the first few times i made the mistake of not reading the directions carefully and i followed up with this after a conditioner rather straight after shampooing like it states. it sat on top of my hair and left a white residue and later a cast. so when i tried it correctly it did the same thing. it doesn’t seem to penetrate my hair at all and now i’m pretty much left with no choice but to throw the bottles away. it was a waste of money.btw im natural 3c/4a tyoe with low porosity,Giovanni,Curly Girl Products,1,straight,fine,flaky scalp,"dryness, breakage, frizz, volume, shine, split ends"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",4.0 out of 5 stars,works and does not smell.,"it is not exactly weightless but it works and i feel the moisture stayed in my hair. this is really what attracted me to this product (i have dry hair). this also has no smell -- which is what i really like. products often say ""fragrance free"" when they mean no perfume but then you walk around smelling  like coconut or pineapples (which is just as smelly). i work in office spaces where visitors come in and their heavy perfumes can be obnoxious. i find it offensive to be wafting scents in common work spaces, hospitals, labs and community centers. so i am relieved whenever i find some hair products that work without smelling.",Giovanni,Curly Girl Products,4,coily,thick,dry scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,feels like lotion - seems fake,i'm really annoyed with amazon and their counterfeits at this point.  everything is so questionable. they need to figure out how to screen these products because i'm literally on the verge or boycotting them all together. this product feels like i'm putting wash out conditioner in my hair.  it smells like a lotion from the 80s - old.  not like grapefruit or whatever it claims to be. it's disgusting how many products i've seen to be counterfeit on here.,Giovanni,Curly Girl Products,1,3b,fine,sensitive scalp,"shine, dryness, volume, frizz, color-treated, split ends"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,found something for my 4c natural hair!,"i love it! i purchased the pack of 3 when i was relaxed and my hair didn't really like it. fast forward i started to stretch my relaxers then transition now i'm natural and have been purchasing different leave in con'd that just doesn't seem to cater to 4c hair like they claim so i found this product way in the back of my cabinet behind dozens and dozens of products. don't know what made me give it another try but i'm so happy i did!! it made my 4c curls pop! i applied it on an old unwashed hair to re-do my large braidout (on each side). i didn't need to add water but i added a small amount of extra virgin olive oil then eco styler olive oil gel to tame the fly away hairs and perfect the style. i'm so mad that i've been just wasting money following the ""instagram product trends"" when i had the secret in my cabinet the entire time. my next wash day is in two days. i'll see if it works just as well on damp hair. and in the future when i'm ready to blow dry again i'll see if it works. tip: i applied about a quarter size amount to both sides of my hair and works it through. once i applied the gel (because i need to be heavy handed with the gel to lay my hair) it look like it may leave residue but once you work it in and tie your hair up its clear and popping!",Giovanni,Curly Girl Products,5,curly,thick,sensitive scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,awesome leave in,"curly girl, 3b low porosity curls. perfect moisture and consistency. light, when you rub in hands does turn white but goes away once applied. smell is fine, it doesn't linger but that's not a bad thing because i usually layer it with a styling product curly, natural hair ladies know what i'm talking about. great deal for 3 bottles. has become one of my favorite leave in, great for wash and go. it is also good for the summer months when we need our curls hydrated. will definitely recommend and repurchase.",Giovanni,Curly Girl Products,5,curly,fine,,shine
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,finally weightless leave in for the win,"i've only ever purchased this from amazon so i don't know if it's fake or not but whatever is in these bottles is the best leave in conditioner/curl cream i've ever used.  i mix this with palmer's hair polisher after showering and walk out the door.  i have 3a fine hair that doesn't like to be weighed down.  this controls frizz, enhances curls, and adds volume.  i've always washed my hair every morning because either my hair is a greasy mess due to product or my curls have fallen out but this stuff can be reapplied in the morning to perk up my curls and remains weightless all day.  perfection!",Giovanni,Curly Girl Products,5,curly,fine,sensitive scalp,"frizz, volume"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,"terrible, fraud, not the real thing.","very disappointed. i am african american and have 4b/4c hair texture. this product worked horribly on my hair. my hair felt hard and dry after using it, not moisturizing at all. also i am about 99% this isn’t the actual giovanni leave in. i’ve used this product before and it was a completely different consistency and texture from when i would buy it in store. i believe this product is a fraud and not the actual giovanni leave in conditioner.",Giovanni,Curly Girl Products,1,4b,medium,dry scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,great product for 4c natural hair (transitional stages - daily wash n go's),this has been for me one of the best products for my 4c natural hair which also suffers from a moisture problem. i have experimented with several different types of leave in conditioners but i find myself coming back to old faithful. it leaves my hair soft and does not flake when i use it daily with my eco styler olive oil gel.it is very cheap i normally purchase the 3 pack for $18.00 and it lasts for almost a year i do my reordering around the 9th or 10th month. this is a really good product if you are transitioning and if you love to wash and go's daily or for refreshes and don't worry if it looks white when it drys it doesn't dry flaky but make sure you get weightless though there is a difference.,Giovanni,Curly Girl Products,5,4c,medium,flaky scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,took getting used to,"i wasn't sure if i enjoyed this product at first. my first couple uses made my hair look stringy/thin. after a while though, i got the knack for it and now it only improves my volume and leaves my hair feeling moisturized all day in the heat, no frizz.i just really don't like the smell. i mean, fortunately it goes away, but it's nice to smell a nice scent. like, when i apply my bodywash and the scent of sandalwood fills my nostrils, it just relaxes me. this stuff smells just like chemicals. though, it is curly girl friendly.",Giovanni,Curly Girl Products,5,curly,fine,sensitive scalp,"frizz, volume"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,best ever,"i have fine, very curly hair and suffer with the typical problems of curly girls. i would hate to know the amount of money i have spent searching for the perfect product. giovanni direct leave in conditioner is the bomb. it is moisturizing & taming without being greasy, sticky, or weighing hair down. the perfect application in my opinion is to apply a small dollop to hair as soon as you leave shower. don't towel dry. apply product to ends and crown then comb through with wide toothed comb. tossel  with fingers occasionally during air drying for lift. i have been using the this leave in conditioner for years and am always disappointed when decide to try something different. i also use the giovanni 50/50 shampoo & conditioner for a great product trio. nothing better in my experience.",Giovanni,Curly Girl Products,5,curly,fine,dry scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",4.0 out of 5 stars,smells great,this product has a very nice light scent that lasts for hours after applying. just as the bottle says it is very lightweight however with it being lightweight i have to use a lot of product to make my hair feel moisturized. glad i bought the 3 pack as i'll be using it all fast. works best for me when hair is damp. would probably buy again for the summer because my hair requires much more moisture in the winter.,Giovanni,Curly Girl Products,4,3c,fine,dry scalp,"dryness, shine"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,1-star reviews make sense now,"i just thought it was me but upon reading these reviews it all makes sense now; my hair felt like absolute garbage after trying this product. at first, i thought my hair just needed to get used to it but i tried 1.5 / 3 of my bottles, and ended up throwing the rest away. i've never used the ""real"" product but whatever i received from amazon, made my hair feel like thick, sticky, straw. i don't know how else to describe it. it was so painful to try to brush my hair after using this stuff because the brush refused to go through it. this was awful, 0 / 10, do not recommend.",Giovanni,Curly Girl Products,1,curly,thick,sensitive scalp,"frizz, dryness, breakage, volume, split ends, shine"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,buyer beware!!!!!,"i love giovani hair products. i have 4b-4c hair and find their products leave my hair soft and manageable. i purchased the shampoo and condition from another suplier and when i saw this 3-pack deal, i had to go for it. huge mistake. this conditioner left my hair feeling heavy and caused shedding. i question whether this is a genuine giovani product. i will not be purchasing from this seller again.",Giovanni,Curly Girl Products,1,4b,thick,sensitive scalp,"breakage, volume, dryness, shine, frizz"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,amazing leave-in conditioner for 4b/4c hair!,"i absolutely adore this leave-in conditioner! it works better than any leave-in i've ever tried!pros:- leaves hair feeling super soft, moisturised and manageable- has great slip making it easy to detangle hair.- works well with products from other brands.- penetrates hair easily and quickly- does not weigh down hair and does not flake- even though it's only 8oz it lasts a long time because a little definitely goes a long way!cons:- the scent could be better, but that's being nit-picky.this is definitely a holy grail product for me! would highly recommend it!",Giovanni,Curly Girl Products,5,curly,medium,sensitive scalp,"split ends, volume, shine"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,not the right conditioner!,"this is not the leave-in conditioner. it feels and smells more like their rinse-out conditioner, which i also use. these bottles had runny, lotiony conditioner.  definitely not the same as the giovanni conditioner i’ve been buying for years. it doesn’t condition or hold waves like it has, over even one day. completely wrong product.",Giovanni,Curly Girl Products,1,wavy,medium,sensitive scalp,"dryness, frizz, volume, shine, breakage"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,useful as both conditioner and styling lotion.,"very nice product--has moderate hold and body, yet non-irritating to allergy-prone scalp skin.  pleasant mild scent.",Giovanni,Curly Girl Products,5,coily,medium,sensitive scalp,
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,holy grail,"this product is seriously the holy grail of all leave in conditioners. i've been using it for about 2 months ago and i lieterally trashed all my other leave ins conditioners because this one has left me super duper happy. i'm natural with a hair type that's 4b and i must say that despite the fact that my hair is thick and coarse, it really dosen't take much of this product to keep my hair well moisturised. this is literally one of those ""a little goes a long way"" type of products. so if you're cautious about how much of the product you put in your hair, the bottle should last you about 2 1/2 months depending on how frequently you wash your hair.",Giovanni,Curly Girl Products,5,4b,thick,dry scalp,"shine, volume, dryness"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,kinky hair love,"i love this product and use it every week on my coarse natural hair. it helps to hold hydration, gives a great shine and i love the fact that i can get it on auto ship. i hate running out of stuff. ultimately it saves me money because i don't pick up other things that are shiny objects in whole foods where i had been buying it. i hate when i hear people talk about 'good' hair and 'bad'  hair. but hopefully you will get what i am saying here, people tell me all the time ""i wish i had good hair like yours"". i find it pretty funny because i know my hair texture...and kindly adjust their thinking; bottom line... it really does help make it manageable.",Giovanni,Curly Girl Products,5,coily,fine,dry scalp,shine
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",3.0 out of 5 stars,doesn't detangle enough to be worth it,"i have thick, wavy hair almost down to my waist. it is difficult to brush when wet due to millions of tangles and so i always use some sort of detangler. normally, i use some sort of spray-in detangler but when looking for something new, i came across this and bought it after seeing all the positive reviews.it does help a little bit with detangling but not as much as i'm used to unless i put in a ton. but then if i put in a ton, it leaves my hair almost like straw and heavy so that my curls are hardly even there. it's really gross. so i use a tiny amount and struggle at times to brush it out which makes me frustrated because why else am i using this product?",Giovanni,Curly Girl Products,3,wavy,fine,,volume
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,fake,"the product was thick with a strong smell, and even after drying it left a residue on my hair. it made my hair frizzy and unmanageable. luckily amazon was good with helping me out, but do not buy this product! it is going straight into the trash.",Giovanni,Curly Girl Products,1,straight,thick,sensitive scalp,"frizz, dryness"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,the best leave in conditioner for my type 4a/4b low porosity hair,i’d purchased this product before about two years ago and i must have forgotten how good it was in my haste to find more products to use. sometimes it’s best to keep using what works! this product gave my hair so much slip. my hair feels so smoothing and hydrated when i use this leave in,Giovanni,Curly Girl Products,5,straight,fine,dry scalp,"shine, volume"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,the best and only conditioner i will ever use!,"i have tried many products on my 4bc hair and this is the one that has made the biggest difference in my hair and my life. my hair has never looked or felt as good as it does when i use this conditioner. it makes the bomb twist out and my hair is super easy to comb through.  i sometimes use it on my face and it even makes my skin more youthful!i will never buy another conditioner again, i just wish i could get a lifetime supply lol.",Giovanni,Curly Girl Products,5,4b,,dry scalp,"volume, shine, dryness"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,does wonders for natural hair!!!,"i’ve always used giovannis leave in conditioner in the past and it worked wonders for my hair. when i was not able to go and buy in the store anymore i had to order three, so i’m good for awhile!!!!",Giovanni,Curly Girl Products,5,3c,,,
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",4.0 out of 5 stars,lots of pros!!!,"i am enjoying this leave-in very much. i have curly-kinky hair and when i apply this conditioner it leaves my hair (strands) with a white coating, but when it dries it is absolutely wonderfully. i have this product 4 stars because i deducted one star for the fragrance/scent/smell-i do not like the smell. i love the fact that it is natural and safe to use and that it is a leave-in. the only additional thing i add to my hair after this leave-in is 'coconut oil'...the combination works perfectly!",Giovanni,Curly Girl Products,4,curly,fine,dry scalp,"dryness, shine, volume"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,i love this leave in for my natural hair,"i have really thick, curly hair (type 3c). this stuff works wonders as a leave in. i put other products on top of this for added curl definition, but a little goes a long way. these bottles are very small, though, and i prefer to buy this product in the larger sized bottles. amazon, unfortunately, does not offer the same size/price as offered from massagewarehouse.com or from tj maxx /marshalls where i buy bulk quantities.",Giovanni,Curly Girl Products,5,curly,thick,,"volume, shine"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",2.0 out of 5 stars,unpleasant scent,"it's an ""ok"" product but to scent, to me, is very unpleasant. it's like you haven't washed your hair in weeks. i did a dumb thing and bought 3, now i don't even know what to do with the two unopened bottles.",Giovanni,Curly Girl Products,2,3c,fine,sensitive scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,good stuff,"this is some good stuff here.  i use it like a hair cream.  daily i moisturize my hair with this leave in, put two twist in my hair and keep it moving.",Giovanni,Curly Girl Products,5,coily,medium,dry scalp,"volume, shine"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",3.0 out of 5 stars,"my bad! once i realized it was a ""leave-in"" conditioner","i have very long hair that tangles badly. i thought this was a regular conditioner (i didn't read the description very well) and couldn't firgure out why it wasn't helping. my bad! once i realized it was a ""leave-in"" conditioner, i tried it. it honestly didn't work well for me. i do love that it is enriched with certified organic botanicals, has no animal by-products and it's cruelty free. it wasn't for me but i still love these products from giovanni!",Giovanni,Curly Girl Products,3,curly,thick,,"volume, breakage, frizz"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,fake,"i love the real giovanni leave-in. unfortunately, this is fake.",Giovanni,Curly Girl Products,1,wavy,thick,,"color-treated, breakage"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,quality product,"i've been using this product for years.  i do not notice any scent, and scent is not a feature that i was looking for.  a small dab helps control my fine hair without the need to use heavier mousse, or other hair products.",Giovanni,Curly Girl Products,5,coily,fine,,
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,great product,love this conditioner. i would definitely recommend it.,Giovanni,Curly Girl Products,5,coily,medium,sensitive scalp,
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,great leave-in for my 3c-4a hair,"after watching tons and tons of youtube videos of the natural gurus, i decided to try this stuff. i initially purchased this leave in conditioner at whole foods. color me impressed! the product is light, yet moisturizing. i always follow it up with an oil, but for someone with less dry hair this lightweight leave in might do just the trick on its own. because i am a product junkie, i have tried what feels like every leave in on the market for people with my hair type. this stuff wins, hands down. not sure i will ever use another leave in!",Giovanni,Curly Girl Products,5,coily,fine,flaky scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",1.0 out of 5 stars,read most recent reviews,i read most recent reviews but tried the product anyway. product works poorly on my hair and over seems different from the previous giovanni products. will not order again.,Giovanni,Curly Girl Products,1,curly,medium,flaky scalp,"frizz, shine, split ends, dryness, breakage, volume"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,bravo,"a dream leave in! hair is soft, moisturized, free to curl and protected with a great mix of herbal ingredients. not the only giovanni product in which i sing praise! love the gentle almost non-existent clean scent❤️ thank you!",Giovanni,Curly Girl Products,5,4a,,,
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,quick kiss of moisture to a dry winter scalp.,"quick kiss of moisture to a dry winter scalp, this is great to apply to your scalp just before putting on a hat to keep your scalp from becoming dry and itchy.",Giovanni,Curly Girl Products,5,4a,fine,dry scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,this is fantastic conditioner for black hair!,"i have been looking for something like this for many years.  i use with after shampooing with my favorite giovanni shampoo.  it lasts until the next shampoo.  all i have to do is spritz my hair with a little water every morning before picking it out, and it is as soft and managable as it was when i first shampoo.  a light, fine mist of water is all that is necessary. you don't have to have a heavy oily product, what your hair needs is water.  get that spritzer and go to it!",Giovanni,Curly Girl Products,5,curly,fine,sensitive scalp,"shine, volume, dryness"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",5.0 out of 5 stars,love love love,this is my favorite and only go to product for my hair! it really enchances my curl pattern and is not too heavy! great for curly hair textures! price is awesome as well!,Giovanni,Curly Girl Products,5,curly,thick,,"shine, volume"
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",4.0 out of 5 stars,it leaves hair soft and weightless,"it leaves hair soft and weightless. i just dont like that when you don't wear it my hair goes completely dry !! but when i wear it, it works. i wish it didn't have that negative after effect but yet i like wearing it anyways.",Giovanni,Curly Girl Products,4,coily,medium,sensitive scalp,dryness
"GIOVANNI Direct Leave-In Weightless Moisture Conditioner, 8.5 oz. , Wash & Go, Co Wash, Curls & Wavy Hair, No Parabens, Color Safe (Pack of 3)",3.0 out of 5 stars,will not buy again,might be a good product but it didn’t work on my hair.,Giovanni,Curly Girl Products,3,curly,medium,sensitive scalp,"frizz, split ends"
